Date,BTC
2017-06-07 00:00:00,2691.51
2017-06-08 00:00:00,2798.78
2017-06-09 00:00:00,2811.43
2017-06-10 00:00:00,2900.25
2017-06-11 00:00:00,2973.45
2017-06-12 00:00:00,2656.77
2017-06-13 00:00:00,2712.99
2017-06-14 00:00:00,2467.27
2017-06-15 00:00:00,2442.46
2017-06-16 00:00:00,2508.58
2017-06-17 00:00:00,2655.1
2017-06-18 00:00:00,2539.56
2017-06-19 00:00:00,2616.82
2017-06-20 00:00:00,2754.38
2017-06-21 00:00:00,2677.62
2017-06-22 00:00:00,2722.84
2017-06-23 00:00:00,2710.37
2017-06-24 00:00:00,2590.05
2017-06-25 00:00:00,2541.62
2017-06-26 00:00:00,2446.05
2017-06-27 00:00:00,2583.75
2017-06-28 00:00:00,2577.74
2017-06-29 00:00:00,2558.37
2017-06-30 00:00:00,2480.61
2017-07-01 00:00:00,2424.61
2017-07-02 00:00:00,2536.46
2017-07-03 00:00:00,2572.47
2017-07-04 00:00:00,2617.32
2017-07-05 00:00:00,2627.86
2017-07-06 00:00:00,2614.24
2017-07-07 00:00:00,2513.88
2017-07-08 00:00:00,2564.86
2017-07-09 00:00:00,2511.43
2017-07-10 00:00:00,2344.02
2017-07-11 00:00:00,2324.29
2017-07-12 00:00:00,2403.09
2017-07-13 00:00:00,2362.44
2017-07-14 00:00:00,2234.17
2017-07-15 00:00:00,1975.08
2017-07-16 00:00:00,1914.09
2017-07-17 00:00:00,2233.39
2017-07-18 00:00:00,2320.23
2017-07-19 00:00:00,2282.58
2017-07-20 00:00:00,2866.02
2017-07-21 00:00:00,2675.08
2017-07-22 00:00:00,2836.53
2017-07-23 00:00:00,2756.61
2017-07-24 00:00:00,2763.42
2017-07-25 00:00:00,2582.58
2017-07-26 00:00:00,2559.21
2017-07-27 00:00:00,2691.88
2017-07-28 00:00:00,2806.75
2017-07-29 00:00:00,2733.5
2017-07-30 00:00:00,2766.49
2017-07-31 00:00:00,2883.27
2017-08-01 00:00:00,2746.99
2017-08-02 00:00:00,2720.53
2017-08-03 00:00:00,2809.99
2017-08-04 00:00:00,2878.49
2017-08-05 00:00:00,3262.8
2017-08-06 00:00:00,3232.03
2017-08-07 00:00:00,3401.91
2017-08-08 00:00:00,3429.38
2017-08-09 00:00:00,3348.79
2017-08-10 00:00:00,3425.67
2017-08-11 00:00:00,3654.37
2017-08-12 00:00:00,3871.62
2017-08-13 00:00:00,4062.6
2017-08-14 00:00:00,4327.94
2017-08-15 00:00:00,4161.66
2017-08-16 00:00:00,4387.4
2017-08-17 00:00:00,4278.92
2017-08-18 00:00:00,4105.37
2017-08-19 00:00:00,4150.45
2017-08-20 00:00:00,4066.6
2017-08-21 00:00:00,4005.1
2017-08-22 00:00:00,4089.7
2017-08-23 00:00:00,4141.09
2017-08-24 00:00:00,4318.35
2017-08-25 00:00:00,4364.41
2017-08-26 00:00:00,4352.3
2017-08-27 00:00:00,4345.75
2017-08-28 00:00:00,4390.31
2017-08-29 00:00:00,4597.31
2017-08-30 00:00:00,4583.02
2017-08-31 00:00:00,4735.11
2017-09-01 00:00:00,4921.85
2017-09-02 00:00:00,4573.8
2017-09-03 00:00:00,4612.92
2017-09-04 00:00:00,4267.45
2017-09-05 00:00:00,4409.08
2017-09-06 00:00:00,4618.71
2017-09-07 00:00:00,4635.6
2017-09-08 00:00:00,4326.45
2017-09-09 00:00:00,4335.13
2017-09-10 00:00:00,4245.89
2017-09-11 00:00:00,4217.9
2017-09-12 00:00:00,4158.92
2017-09-13 00:00:00,3870.29
2017-09-14 00:00:00,3243.08
2017-09-15 00:00:00,3713.76
2017-09-16 00:00:00,3698.92
2017-09-17 00:00:00,3689.61
2017-09-18 00:00:00,4100.28
2017-09-19 00:00:00,3907.96
2017-09-20 00:00:00,3882.16
2017-09-21 00:00:00,3617.27
2017-09-22 00:00:00,3600.83
2017-09-23 00:00:00,3788.02
2017-09-24 00:00:00,3667.52
2017-09-25 00:00:00,3932.83
2017-09-26 00:00:00,3892.7
2017-09-27 00:00:00,4212.2
2017-09-28 00:00:00,4195.65
2017-09-29 00:00:00,4172.79
2017-09-30 00:00:00,4360.62
2017-10-01 00:00:00,4403.09
2017-10-02 00:00:00,4401.32
2017-10-03 00:00:00,4314.18
2017-10-04 00:00:00,4210.28
2017-10-05 00:00:00,4221.99
2017-10-06 00:00:00,4378.25
